If Inferred=1, the connectivity between neurons was inferred using axonic/dendritic polarity predicted by SPIN:Skeleton-based Polarity Identification for Neurons. Please refer to 
SPIN: A Method of Skeleton-based Polarity Identification for Neurons. Neurinformatics 12:487-507. Yi-Hsuan Lee, Yen-Nan Lin, Chao-Chun Chuang and Chung-Chuan Lo (2014)
for more details
PreSynaptic Neuron,PostSynaptic Neuron,N,Inferred
Cha-F-100152,VGlut-F-600751,4,1
Cha-F-100152,fru-F-400276,3,1
Cha-F-100152,VGlut-F-500143,1,1
Cha-F-100152,Trh-F-100038,2,1
Cha-F-100152,VGlut-F-500259,1,1
Cha-F-100152,fru-F-700239,1,1
Cha-F-100152,Trh-F-600017,1,1
Cha-F-100152,VGlut-F-700301,5,1
Cha-F-100152,npf-F-200022,2,1
Trh-F-700038,Trh-F-600017,14,1
VGlut-F-600751,VGlut-F-700132,2,1
VGlut-F-800118,Trh-F-600017,12,1
npf-F-200022,Trh-F-600017,14,1
VGlut-F-700154,fru-F-400276,2,1
VGlut-F-700154,VGlut-F-600300,3,1
npf-F-100004,VGlut-F-700132,2,1
npf-F-100004,Trh-F-600017,14,1
npf-F-100004,VGlut-F-600300,1,1
Gad1-F-300382,Trh-F-600017,4,1
npf-F-300001,VGlut-F-400462,2,1
npf-F-300001,VGlut-F-700132,1,1
npf-F-300001,Trh-F-600017,9,1
npf-F-300001,fru-F-400276,2,1
VGlut-F-600251,Trh-F-600017,4,1
VGlut-F-600251,VGlut-F-700132,3,1
VGlut-F-600251,VGlut-F-400462,2,1
fru-F-700165,Trh-F-600017,4,1
npf-F-300047,fru-F-400276,5,1
npf-F-300047,Trh-F-600017,14,1
VGlut-F-200115,VGlut-F-400059,3,1
VGlut-F-200115,Trh-F-600017,7,1
fru-F-700239,Trh-F-600017,5,1
VGlut-F-600300,Trh-F-600017,3,1
Gad1-F-800162,Trh-F-600017,2,1
Gad1-F-800162,VGlut-F-600300,1,1
Trh-F-400014,Trh-F-600017,8,1
Gad1-F-500312,Trh-F-600017,3,1
npf-F-100009,Trh-F-600017,13,1
npf-F-100009,VGlut-F-700132,6,1
npf-F-100009,VGlut-F-400462,2,1
Gad1-F-500299,VGlut-F-400462,2,1
Gad1-F-500299,Trh-F-600017,9,1
VGlut-F-400720,Trh-F-600017,12,1
VGlut-F-000106,fru-F-700239,8,1
VGlut-F-000106,VGlut-F-700153,1,1
VGlut-F-000106,Trh-F-600017,10,1
VGlut-F-000106,VGlut-F-400462,1,1
npf-F-200027,Trh-F-600017,10,1
npf-F-200027,fru-F-400276,2,1
npf-F-100011,Trh-F-600017,13,1
npf-F-100011,VGlut-F-400462,2,1
npf-F-100011,fru-F-400276,2,1
npf-F-100011,VGlut-F-700132,7,1
VGlut-F-600725,VGlut-F-800121,2,1
VGlut-F-600725,Trh-F-600017,1,1
VGlut-F-500502,fru-F-400276,2,1
VGlut-F-500502,Trh-F-600017,6,1
VGlut-F-700153,Trh-F-600017,7,1
VGlut-F-300085,Trh-F-600017,3,1
VGlut-F-500826,Trh-F-600017,4,1
VGlut-F-900120,Trh-F-600017,15,1
VGlut-F-200571,Trh-F-600017,13,1
